src_v,aim_v,units,type,lvlmark,desc,hour
ta,TT,K,3d,PlevPt,3-d air temperature,6
hus,SPECHUMD,kg kg-1,3d,PlevPt,3-d specific humidity,6
ua,UU,m s-1,3d,PlevPt, 3-d wind u-component,6
va,VV,m s-1,3d,PlevPt, 3-d wind v-component,6
zg,GHT,m,3d,PlevPt, 3-d geopotential height,6
ps,PSFC,Pa,2d,Lev, Surface pressure,6
tas,TT,K,2d,None, 2-m temperature,3
uas,UU,m s-1,2d,PlevPt, 10m wind u-component,6
vas,VV,m s-1,2d,PlevPt, 10m wind v-component,6
tas,SKINTEMP, K,2d,None, Skin temperature,3
tos,SST, K,2d,None, sea surface temperature,6
psl,PMSL,Pa,2d,PlevPt, Mean sea-level pressure,6
huss,SPECHUMD, kg kg-1,2d,None, 2-m relative humidity,3
mrsos,SM000010, m3/m-3,2d-soil,None, 0-10 cm soil moisture,3
tsl,ST000010,K,2d-soil,PlevPt, 0-10 cm soil temp,6
mrsos,SM010200, m3/m-3,2d-soilr,PlevPt, 10-200 cm soil moisture,6
tsl,ST010200,K,2d-soilr,PlevPt, 10-200 cm soil temp,6 
